state,elderly_mode,school_mode,mask,ILIp,pca_1,date,resid_av7,unweighted_ili,Hospitalization_weeklysum,Hospitalization_weeklyave,Hospitalization_weeklysum_pop
AK,2.0,3.0,0.2869,0.0,-52.20396397901017,2020-04-05,16.1428571428571,3.51711,,,
AL,3.0,3.0,0.2803,9.679026e-05,-32.14862881592036,2020-04-05,15.142857142857098,2.30453,,,
AR,3.0,3.0,0.3342,0.00022769208,-23.531623816987604,2020-04-05,12.4285714285714,1.02564,,,
AZ,1.0,3.0,0.264,0.0,-46.91287636630392,2020-04-05,16.1428571428571,1.87739,,,
CA,3.0,3.0,0.4682,7.472808000000001e-05,-65.00337574812092,2020-04-05,21.71428571428569,2.07578,,,
CO,3.0,3.0,0.3688,0.0,-64.59086815368032,2020-04-05,19.7142857142857,2.3645,,,
CT,3.0,3.0,0.3483,0.0,-61.14982354135133,2020-04-05,20.4285714285714,4.75905,,,
DE,2.0,3.0,0.4261,0.0,-55.19190675374372,2020-04-05,18.1428571428571,0.0,,,
GA,3.0,3.0,0.3137,0.0004136548799999,-54.1434589971083,2020-04-05,18.2857142857143,4.05544,,,
HI,2.0,3.0,0.4079,0.001040952433,-79.64788062331498,2020-04-05,21.2857142857143,0.952381,,,
IA,2.0,2.142857142857143,0.2404,0.0,-25.02356675316624,2020-04-05,14.7142857142857,0.666297,,,
ID,3.0,3.0,0.1725,0.0,-34.09054445913163,2020-04-05,14.5714285714286,2.65896,,,
IL,1.0,3.0,0.581,0.0004185747,-56.75134077298398,2020-04-05,19.1428571428571,2.86695,,,
IN,1.0,3.0,0.4293,0.0,-33.67479242998408,2020-04-05,16.571428571428598,0.590164,,,
KS,3.0,3.0,0.2582,0.0,-32.22759293613094,2020-04-05,16.0,2.4171400000000003,,,
KY,3.0,3.0,0.2525,8.273048000000001e-05,-31.85784126859477,2020-04-05,14.857142857142902,1.47733,,,
LA,3.0,3.0,0.2982,0.0,-49.8809544561913,2020-04-05,17.1428571428571,5.89855,,,
MA,3.0,3.0,0.3378,0.00015044365,-79.18083498039154,2020-04-05,23.0,4.29839,,,
MD,2.142857142857143,3.0,0.4178,0.0,-62.309533913314105,2020-04-05,21.857142857142897,4.59694,,,
ME,1.0,3.0,0.2608,0.0,-62.16901329807373,2020-04-05,17.428571428571402,1.00185,,,
MI,2.0,3.0,0.434,4.3236400000000005e-05,-65.55021546524675,2020-04-05,21.5714285714286,1.08091,,,
MN,2.0,3.0,0.3353,0.0,-63.34750218436544,2020-04-05,20.4285714285714,1.5587799999999998,,,
MO,2.0,3.0,0.2664,3.4467102e-05,-37.48593300065489,2020-04-05,15.7142857142857,0.907029,,,
MS,3.0,3.0,0.1561,0.0,-29.376933869715884,2020-04-05,14.5714285714286,3.1213900000000003,,,
MT,3.0,3.0,0.2135,8.12331e-05,-41.76098436633376,2020-04-05,14.5714285714286,1.5327,,,
NC,2.0,3.0,0.3487,6.995283e-05,-47.90572295720659,2020-04-05,15.5714285714286,1.62681,,,
ND,1.0,3.0,0.2089,5.878018e-05,-42.54999386631914,2020-04-05,17.8571428571429,1.10906,,,
NE,1.0,3.0,0.2518,0.0,-24.551946969947736,2020-04-05,15.4285714285714,2.3587700000000003,,,
NH,3.0,3.0,0.2946,1.5990207606e-05,-55.94578794243375,2020-04-05,19.1428571428571,0.4184100000000001,,,
NJ,3.0,3.0,0.5109,0.0,-76.05453305864403,2020-04-05,24.71428571428569,12.1513,,,
NM,1.5714285714285714,3.0,0.3409,0.0,-32.96753627640936,2020-04-05,16.0,2.10575,,,
NV,1.8571428571428568,3.0,0.3026,0.00029730696816,-64.23692338648179,2020-04-05,19.5714285714286,1.04718,,,
NY,3.0,3.0,0.5295,0.0,-81.6308653664728,2020-04-05,24.142857142857103,4.76863,,,
OH,3.0,3.0,0.248,9.005821e-05,-35.55693402861128,2020-04-05,16.8571428571429,1.01189,,,
OK,3.0,3.0,0.2752,0.0006788302499999,-26.13830658464342,2020-04-05,15.142857142857098,3.87903,,,
OR,3.0,3.0,0.275,2.52212e-05,-49.82960998681644,2020-04-05,16.2857142857143,2.52212,,,
PA,1.8571428571428568,3.0,0.4391,0.0001774656,-61.080024827178086,2020-04-05,19.4285714285714,2.73024,,,
RI,3.0,3.0,0.3357,0.0,-66.34554809294929,2020-04-05,19.8571428571429,0.0,,,
SC,3.0,2.0,0.2306,0.0,-34.91437734966026,2020-04-05,14.4285714285714,4.59473,,,
SD,1.0,3.0,0.1744,0.0,-29.803348674331936,2020-04-05,15.857142857142902,0.7591439999999999,,,
TN,3.0,3.0,0.1999,0.00047402168,-36.14720861270057,2020-04-05,15.0,2.7559400000000003,,,
TX,3.0,3.0,0.3857,0.00036919375,-53.05432906660656,2020-04-05,19.7142857142857,2.95355,,,
UT,1.0,3.0,0.2514,0.00010809225,-48.25449991025758,2020-04-05,17.428571428571402,2.40205,,,
VA,1.0,3.0,0.3024,0.0002131126,-55.13568548039468,2020-04-05,18.5714285714286,2.8799,,,
VT,3.0,3.0,0.3383,0.00027193133,-71.18537117338724,2020-04-05,19.8571428571429,2.64011,,,
WA,3.0,3.0,0.2457,0.0,-63.07225106415159,2020-04-05,19.2857142857143,1.58293,,,
WI,2.0,3.0,0.4474,9.067548e-05,-42.887199562241406,2020-04-05,17.8571428571429,3.23841,,,
WV,1.0,2.0,0.2853,1.9404364e-05,-34.64341634145658,2020-04-05,13.5714285714286,0.6691159999999999,,,
WY,3.0,3.0,0.1212,3.657448911599999e-05,-18.449179717855152,2020-04-05,13.857142857142902,1.61751,,,
AK,2.0,3.0,0.3524,0.0,-51.53118471838171,2020-04-12,15.4285714285714,1.32181,,,
AL,3.0,3.0,0.3445,5.169e-05,-36.06160506360187,2020-04-12,15.2857142857143,2.0676,,,
AR,3.0,3.0,0.408,0.0,-24.53514397397184,2020-04-12,12.0,0.499376,,,
AZ,1.0,3.0,0.3251,0.00013573413,-47.82959905423856,2020-04-12,16.2857142857143,2.15451,,,
CA,3.0,3.0,0.5591,0.0,-65.95780445044018,2020-04-12,21.71428571428569,1.55867,,,
CO,3.0,3.0,0.4479999999999999,4.378914000000001e-05,-68.22088982759477,2020-04-12,20.1428571428571,1.62182,,,
CT,3.0,3.0,0.4244,0.00016267125,-67.35962086318465,2020-04-12,21.4285714285714,4.64775,,,
DE,2.0,3.0,0.5129,0.0,-61.87136032711035,2020-04-12,19.2857142857143,0.0,,,
GA,3.0,3.0,0.384,0.00019973638,-56.07432528147164,2020-04-12,17.8571428571429,2.9811400000000003,,,
HI,2.0,3.0,0.4925,0.000749097002,-83.88221308010877,2020-04-12,22.142857142857103,0.555298,,,
IA,2.0,3.0,0.2969,7.3863647e-05,-33.61122889390679,2020-04-12,16.1428571428571,0.437063,,,
ID,3.0,3.0,0.2143,0.0,-33.726184236725715,2020-04-12,13.7142857142857,4.18042,,,
IL,1.0,3.0,0.6759,0.0,-60.52950414674436,2020-04-12,19.8571428571429,2.39922,,,
IN,1.0,3.0,0.5165,9.494836e-06,-38.27915284483368,2020-04-12,17.571428571428598,0.365186,,,
KS,3.0,3.0,0.3182,0.00033410475,-33.98386612688498,2020-04-12,16.0,1.76775,,,
KY,3.0,3.0,0.3114,0.0,-39.7053293663006,2020-04-12,16.0,1.01977,,,
LA,3.0,3.0,0.3658,0.0,-51.37129981311117,2020-04-12,17.0,4.259869999999999,,,
MA,3.0,3.0,0.4122,9.30065e-05,-82.95218844931571,2020-04-12,23.285714285714302,3.72026,,,
MD,3.0,3.0,0.5036,0.0,-65.58902232774687,2020-04-12,22.71428571428569,3.71282,,,
ME,1.0,3.0,0.3213,0.0,-59.81505952266642,2020-04-12,15.4285714285714,0.912365,,,
MI,2.0,3.0,0.5216,2.9151119e-05,-72.79953800174606,2020-04-12,23.0,0.677933,,,
MN,2.0,3.0,0.4094,0.0,-66.74125385528798,2020-04-12,20.7142857142857,1.25899,,,
MO,2.0,3.0,0.3279999999999999,4.418265e-05,-40.08310392910053,2020-04-12,15.857142857142902,0.589102,,,
MS,3.0,3.0,0.1943,0.0,-32.080864568610174,2020-04-12,14.857142857142902,2.5065,,,
MT,3.0,3.0,0.2644,0.0,-44.82310401659901,2020-04-12,14.7142857142857,1.10488,,,
NC,2.0,3.0,0.4249,0.0,-51.83348055233464,2020-04-12,16.2857142857143,1.28345,,,
ND,3.0,3.0,0.2588,9.462028e-05,-44.50090301523379,2020-04-12,17.7142857142857,1.33268,,,
NE,1.0,3.0,0.3106,0.0,-30.42410022913068,2020-04-12,16.0,1.83824,,,
NH,3.0,3.0,0.3615,6.6989216765e-05,-61.17336779376829,2020-04-12,19.5714285714286,0.513347,,,
NJ,3.0,3.0,0.6045,0.000111960539424,-86.32344836872818,2020-04-12,25.857142857142897,8.08356,,,
NM,2.0,3.0,0.4158,0.0,-41.223081892908695,2020-04-12,17.0,1.99779,,,
NV,2.0,3.0,0.371,0.00025204881377,-64.15383811816099,2020-04-12,19.4285714285714,0.863447,,,
NY,3.0,3.0,0.624,0.0,-87.5264684047155,2020-04-12,25.142857142857103,3.30446,,,
OH,3.0,3.0,0.3059,2.647449e-05,-42.45202437961896,2020-04-12,18.1428571428571,0.882483,,,
OK,3.0,3.0,0.3384,0.0002784771,-27.424239640506396,2020-04-12,15.2857142857143,3.09419,,,
OR,3.0,3.0,0.3383,0.0,-47.26492166226296,2020-04-12,15.2857142857143,1.6121299999999998,,,
PA,3.0,3.0,0.5274,0.0,-66.39260265639874,2020-04-12,20.2857142857143,2.03685,,,
